            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
2460374.500000000, A.D. 2024-Mar-05 00:00:00.0000,  1.714823268812180E-02,  1.470796747416803E+08,  3.577585424278312E-03,  1.704420268680654E+02,  2.928783195302415E+02,  2.460314065018591E+06,  1.140202909571047E-05,  5.953663437884486E+01,  6.124875554926449E+01,  1.496458363644668E+08,  1.522119979872532E+08,  3.157332760494664E+07,
2460375.500000000, A.D. 2024-Mar-06 00:00:00.0000,  1.720333899465321E-02,  1.470986723646621E+08,  3.064378678531648E-03,  1.713441522612344E+02,  2.925780022753914E+02,  2.460314654530445E+06,  1.139886159846054E-05,  5.992436906054915E+01,  6.164862787332385E+01,  1.496735573095947E+08,  1.522484422545273E+08,  3.158210115022533E+07,
2460376.500000000, A.D. 2024-Mar-07 00:00:00.0000,  1.722980873798921E-02,  1.471193044345505E+08,  2.533398046339158E-03,  1.724534138117213E+02,  2.920541321266844E+02,  2.460315226565483E+06,  1.139600340144552E-05,  6.033072396985850E+01,  6.206447927326998E+01,  1.496985823772587E+08,  1.522778603199670E+08,  3.159002216113203E+07,
2460377.500000000, A.D. 2024-Mar-08 00:00:00.0000,  1.722339509614108E-02,  1.471404578911792E+08,  2.019980818488070E-03,  1.738283449088334E+02,  2.912108409724316E+02,  2.460315744467299E+06,  1.139365752541022E-05,  6.079288808713937E+01,  6.253363053601983E+01,  1.497191296139710E+08,  1.522978013367628E+08,  3.159652633029608E+07,
2460378.500000000, A.D. 2024-Mar-09 00:00:00.0000,  1.718208006107753E-02,  1.471607353992769E+08,  1.564398648961603E-03,  1.755170110306565E+02,  2.899595106267786E+02,  2.460316168521779E+06,  1.139202100923830E-05,  6.135104241515678E+01,  6.309661533688458E+01,  1.497334678313785E+08,  1.523062002634800E+08,  3.160106531651056E+07,
2460379.500000000, A.D. 2024-Mar-10 00:00:00.0000,  1.710725289054449E-02,  1.471785842734122E+08,  1.206321066252300E-03,  1.774499839657277E+02,  2.883311133832411E+02,  2.460316461200610E+06,  1.139124953636019E-05,  6.204303598943324E+01,  6.379186598771410E+01,  1.497402282255546E+08,  1.523018721776970E+08,  3.160320550005523E+07,
2460380.500000000, A.D. 2024-Mar-11 00:00:00.0000,  1.700432202987909E-02,  1.471925161399274E+08,  9.773520904328172E-04,  1.792038487782536E+02,  2.867196449699408E+02,  2.460316593980855E+06,  1.139142146178237E-05,  6.289750638912852E+01,  6.464877503785819E+01,  1.497387215820510E+08,  1.522849270241747E+08,  3.160272852758380E+07,
2460381.500000000, A.D. 2024-Mar-12 00:00:00.0000,  1.688226113596640E-02,  1.472013551988528E+08,  8.947284716677021E-04,  1.799748951112511E+02,  2.859145980297593E+02,  2.460316553373280E+06,  1.139251706358761E-05,  6.392783979001841E+01,  6.568153282895742E+01,  1.497291213247155E+08,  1.522568874505781E+08,  3.159968933912069E+07,
2460382.500000000, A.D. 2024-Mar-13 00:00:00.0000,  1.675208310416306E-02,  1.472044221445988E+08,  9.595727654971419E-04,  1.794502706564727E+02,  2.862325693511652E+02,  2.460316343579452E+06,  1.139442381585150E-05,  6.512955499047546E+01,  6.688636937107097E+01,  1.497124169958382E+08,  1.522204118470775E+08,  3.159440142108644E+07,
2460383.500000000, A.D. 2024-Mar-14 00:00:00.0000,  1.662483278552778E-02,  1.472015884763657E+08,  1.158950557419418E-03,  1.783578203733560E+02,  2.869656963099707E+02,  2.460315984731491E+06,  1.139696494245200E-05,  6.648213441155123E+01,  6.824328079230342E+01,  1.496901623958349E+08,  1.521787363153042E+08,  3.158735696896403E+07,
